cod_zona_iso,nombre,cod_ine,municipio,provincia,indicativo,fecha,tmax,tmin,tmed,calor,anomalia_tmax,frio,anomalia_tmin,color,anomalia_tmax_norm,anomalia_tmax_text,frecuencia,inicio_serie,year_inicio_serie,estacion
11-611101,Grazalema,11042,Zahara,Cádiz,5911A,2024-06-16,25.1,10.9,18,normal,"+1,2",muy frío,"-1,9",#ece6d9,"1,2","1,2º más de lo normal",376,2000-02-01,2000,Grazalema
14-611402,Campiña cordobesa,14001,Adamuz,Córdoba,5394X,2024-06-16,31,13.2,22.1,normal,"+1,5",frío,"-2,9",#ece6d9,"1,5","1,5º más de lo normal",241,2008-05-28,2008,"Córdoba, Embalse de Guadanuño"
14-611402,Campiña cordobesa,14005,Almodóvar del Río,Córdoba,5470,2024-06-16,33.6,15.1,24.3,normal,"-0,2",frío,"-3,6",#ece6d9,"0,199999999999996","0,199999999999996º menos de lo normal",212,2009-04-30,2009,Fuente Palmera
14-611402,Campiña cordobesa,14012,Bujalance,Córdoba,5361X,2024-06-16,35.3,12.7,24,normal,"+0,8",muy frío,"-3,8",#ece6d9,"0,799999999999997","0,799999999999997º más de lo normal",228,2008-06-17,2008,Montoro
14-611402,Campiña cordobesa,14014,Cañete de las Torres,Córdoba,5429X,2024-06-16,32.6,15.1,23.8,normal,"+1,4",frío,"-2,5",#ece6d9,"1,4","1,4º más de lo normal",182,2012-04-24,2012,"Córdoba, Prágdena"
14-611402,Campiña cordobesa,14017,La Carlota,Córdoba,5625X,2024-06-16,33.6,11.3,22.4,normal,"+0,1",muy frío,"-3,8",#ece6d9,"0,100000000000001","0,100000000000001º más de lo normal",231,2008-06-19,2008,La Rambla
14-611402,Campiña cordobesa,14018,El Carpio,Córdoba,5429X,2024-06-16,32.6,15.1,23.8,normal,"+1,4",frío,"-2,5",#ece6d9,"1,4","1,4º más de lo normal",182,2012-04-24,2012,"Córdoba, Prágdena"
14-611402,Campiña cordobesa,14021,Córdoba,Córdoba,5402,2024-06-16,33.9,12.7,23.3,normal,"+1,9",extremadamente frío,"-4,4",#ece6d9,"1,9","1,9º más de lo normal",770,1959-04-01,1959,Córdoba Aeropuerto
14-611402,Campiña cordobesa,14027,Fernán-Núñez,Córdoba,5625X,2024-06-16,33.6,11.3,22.4,normal,"+0,1",muy frío,"-3,8",#ece6d9,"0,100000000000001","0,100000000000001º más de lo normal",231,2008-06-19,2008,La Rambla
14-611402,Campiña cordobesa,14030,Fuente Palmera,Córdoba,5470,2024-06-16,33.6,15.1,24.3,normal,"-0,2",frío,"-3,6",#ece6d9,"0,199999999999996","0,199999999999996º menos de lo normal",212,2009-04-30,2009,Fuente Palmera
14-611402,Campiña cordobesa,14033,Guadalcázar,Córdoba,5470,2024-06-16,33.6,15.1,24.3,normal,"-0,2",frío,"-3,6",#ece6d9,"0,199999999999996","0,199999999999996º menos de lo normal",212,2009-04-30,2009,Fuente Palmera
14-611402,Campiña cordobesa,14040,Montalbán de Córdoba,Córdoba,5625X,2024-06-16,33.6,11.3,22.4,normal,"+0,1",muy frío,"-3,8",#ece6d9,"0,100000000000001","0,100000000000001º más de lo normal",231,2008-06-19,2008,La Rambla
14-611402,Campiña cordobesa,14043,Montoro,Córdoba,5361X,2024-06-16,35.3,12.7,24,normal,"+0,8",muy frío,"-3,8",#ece6d9,"0,799999999999997","0,799999999999997º más de lo normal",228,2008-06-17,2008,Montoro
14-611402,Campiña cordobesa,14049,Palma del Río,Córdoba,5470,2024-06-16,33.6,15.1,24.3,normal,"-0,2",frío,"-3,6",#ece6d9,"0,199999999999996","0,199999999999996º menos de lo normal",212,2009-04-30,2009,Fuente Palmera
14-611402,Campiña cordobesa,14050,Pedro Abad,Córdoba,5361X,2024-06-16,35.3,12.7,24,normal,"+0,8",muy frío,"-3,8",#ece6d9,"0,799999999999997","0,799999999999997º más de lo normal",228,2008-06-17,2008,Montoro
14-611402,Campiña cordobesa,14059,San Sebastián de los Ballesteros,Córdoba,5625X,2024-06-16,33.6,11.3,22.4,normal,"+0,1",muy frío,"-3,8",#ece6d9,"0,100000000000001","0,100000000000001º más de lo normal",231,2008-06-19,2008,La Rambla
14-611402,Campiña cordobesa,14060,Santaella,Córdoba,5625X,2024-06-16,33.6,11.3,22.4,normal,"+0,1",muy frío,"-3,8",#ece6d9,"0,100000000000001","0,100000000000001º más de lo normal",231,2008-06-19,2008,La Rambla
14-611402,Campiña cordobesa,14065,La Victoria,Córdoba,5625X,2024-06-16,33.6,11.3,22.4,normal,"+0,1",muy frío,"-3,8",#ece6d9,"0,100000000000001","0,100000000000001º más de lo normal",231,2008-06-19,2008,La Rambla
14-611402,Campiña cordobesa,14066,Villa del Río,Córdoba,5361X,2024-06-16,35.3,12.7,24,normal,"+0,8",muy frío,"-3,8",#ece6d9,"0,799999999999997","0,799999999999997º más de lo normal",228,2008-06-17,2008,Montoro
14-611402,Campiña cordobesa,14067,Villafranca de Córdoba,Córdoba,5429X,2024-06-16,32.6,15.1,23.8,normal,"+1,4",frío,"-2,5",#ece6d9,"1,4","1,4º más de lo normal",182,2012-04-24,2012,"Córdoba, Prágdena"
14-611402,Campiña cordobesa,14902,La Guijarrosa,Córdoba,5625X,2024-06-16,33.6,11.3,22.4,normal,"+0,1",muy frío,"-3,8",#ece6d9,"0,100000000000001","0,100000000000001º más de lo normal",231,2008-06-19,2008,La Rambla
14-611402,Campiña cordobesa,14053,Posadas,Córdoba,5470,2024-06-16,33.6,15.1,24.3,normal,"-0,2",frío,"-3,6",#ece6d9,"0,199999999999996","0,199999999999996º menos de lo normal",212,2009-04-30,2009,Fuente Palmera
14-611402,Campiña cordobesa,14057,La Rambla,Córdoba,5625X,2024-06-16,33.6,11.3,22.4,normal,"+0,1",muy frío,"-3,8",#ece6d9,"0,100000000000001","0,100000000000001º más de lo normal",231,2008-06-19,2008,La Rambla
14-611402,Campiña cordobesa,14901,Fuente Carreteros,Córdoba,5470,2024-06-16,33.6,15.1,24.3,normal,"-0,2",frío,"-3,6",#ece6d9,"0,199999999999996","0,199999999999996º menos de lo normal",212,2009-04-30,2009,Fuente Palmera
29-612901,Antequera,29001,Alameda,Málaga,6375X,2024-06-16,31.7,12.4,22.1,normal,"+1,5",frío,"-3,4",#ece6d9,"1,5","1,5º más de lo normal",176,2008-10-02,2008,Fuente de Piedra
29-612901,Antequera,29010,Almargen,Málaga,6106X,2024-06-16,31.8,13.2,22.5,cálido,"+2,1",muy frío,"-1,8",#fcbba1,"2,1","2,1º más de lo normal",218,2001-01-01,2001,Antequera
29-612901,Antequera,29015,Antequera,Málaga,6100B,NA,15.9,6.4,11.1,extremadamente frío,"-17,6",extremadamente frío,"-11,2",#08306b,"17,6","17,6º menos de lo normal",NA,NA,NA,Antequera Ayuntamiento (Automática Thies)
29-612901,Antequera,29017,Archidona,Málaga,6100B,NA,15.9,6.4,11.1,extremadamente frío,"-17,6",extremadamente frío,"-11,2",#08306b,"17,6","17,6º menos de lo normal",NA,NA,NA,Antequera Ayuntamiento (Automática Thies)
29-612901,Antequera,29032,Campillos,Málaga,6106X,2024-06-16,31.8,13.2,22.5,cálido,"+2,1",muy frío,"-1,8",#fcbba1,"2,1","2,1º más de lo normal",218,2001-01-01,2001,Antequera
29-612901,Antequera,29035,Cañete la Real,Málaga,6106X,2024-06-16,31.8,13.2,22.5,cálido,"+2,1",muy frío,"-1,8",#fcbba1,"2,1","2,1º más de lo normal",218,2001-01-01,2001,Antequera
29-612901,Antequera,29047,Cuevas Bajas,Málaga,6100B,NA,15.9,6.4,11.1,extremadamente frío,"-17,6",extremadamente frío,"-11,2",#08306b,"17,6","17,6º menos de lo normal",NA,NA,NA,Antequera Ayuntamiento (Automática Thies)
29-612901,Antequera,29049,Cuevas de San Marcos,Málaga,6100B,NA,15.9,6.4,11.1,extremadamente frío,"-17,6",extremadamente frío,"-11,2",#08306b,"17,6","17,6º menos de lo normal",NA,NA,NA,Antequera Ayuntamiento (Automática Thies)
29-612901,Antequera,29055,Fuente de Piedra,Málaga,6375X,2024-06-16,31.7,12.4,22.1,normal,"+1,5",frío,"-3,4",#ece6d9,"1,5","1,5º más de lo normal",176,2008-10-02,2008,Fuente de Piedra
29-612901,Antequera,29059,Humilladero,Málaga,6375X,2024-06-16,31.7,12.4,22.1,normal,"+1,5",frío,"-3,4",#ece6d9,"1,5","1,5º más de lo normal",176,2008-10-02,2008,Fuente de Piedra
29-612901,Antequera,29072,Mollina,Málaga,6375X,2024-06-16,31.7,12.4,22.1,normal,"+1,5",frío,"-3,4",#ece6d9,"1,5","1,5º más de lo normal",176,2008-10-02,2008,Fuente de Piedra
29-612901,Antequera,29088,Sierra de Yeguas,Málaga,6375X,2024-06-16,31.7,12.4,22.1,normal,"+1,5",frío,"-3,4",#ece6d9,"1,5","1,5º más de lo normal",176,2008-10-02,2008,Fuente de Piedra
29-612901,Antequera,29089,Teba,Málaga,6106X,2024-06-16,31.8,13.2,22.5,cálido,"+2,1",muy frío,"-1,8",#fcbba1,"2,1","2,1º más de lo normal",218,2001-01-01,2001,Antequera
29-612901,Antequera,29095,Villanueva de Algaidas,Málaga,6100B,NA,15.9,6.4,11.1,extremadamente frío,"-17,6",extremadamente frío,"-11,2",#08306b,"17,6","17,6º menos de lo normal",NA,NA,NA,Antequera Ayuntamiento (Automática Thies)
29-612901,Antequera,29098,Villanueva de Tapia,Málaga,6100B,NA,15.9,6.4,11.1,extremadamente frío,"-17,6",extremadamente frío,"-11,2",#08306b,"17,6","17,6º menos de lo normal",NA,NA,NA,Antequera Ayuntamiento (Automática Thies)
29-612901,Antequera,29902,Villanueva de la Concepción,Málaga,6100B,NA,15.9,6.4,11.1,extremadamente frío,"-17,6",extremadamente frío,"-11,2",#08306b,"17,6","17,6º menos de lo normal",NA,NA,NA,Antequera Ayuntamiento (Automática Thies)
29-612901,Antequera,29096,Villanueva del Rosario,Málaga,6100B,NA,15.9,6.4,11.1,extremadamente frío,"-17,6",extremadamente frío,"-11,2",#08306b,"17,6","17,6º menos de lo normal",NA,NA,NA,Antequera Ayuntamiento (Automática Thies)
29-612901,Antequera,29097,Villanueva del Trabuco,Málaga,6100B,NA,15.9,6.4,11.1,extremadamente frío,"-17,6",extremadamente frío,"-11,2",#08306b,"17,6","17,6º menos de lo normal",NA,NA,NA,Antequera Ayuntamiento (Automática Thies)
23-612301,Morena y Condado,23004,Aldeaquemada,Jaén,5246,NA,13.6,6.4,10,extremadamente frío,"-18,2",extremadamente frío,-11,#08306b,"18,2","18,2º menos de lo normal",NA,NA,NA,Santa Elena
23-612301,Morena y Condado,23005,Andújar,Jaén,5298X,2024-06-16,34.5,13.9,24.2,normal,"+2,9",frío,"-2,1",#ece6d9,"2,9","2,9º más de lo normal",286,2001-01-01,2001,Andújar
23-612301,Morena y Condado,23008,Arquillos,Jaén,5246,NA,13.6,6.4,10,extremadamente frío,"-18,2",extremadamente frío,-11,#08306b,"18,2","18,2º menos de lo normal",NA,NA,NA,Santa Elena
23-612301,Morena y Condado,23010,Bailén,Jaén,5281X,2024-06-16,32.9,16.2,24.6,normal,"+2,7",frío,"-1,9",#ece6d9,"2,7","2,7º más de lo normal",215,2009-06-23,2009,Bailén
23-612301,Morena y Condado,23011,Baños de la Encina,Jaén,5279X,2024-06-16,32.5,15.4,23.9,normal,+2,frío,"-2,7",#ece6d9,2,2º más de lo normal,282,2004-02-17,2004,Linares
23-612301,Morena y Condado,23021,Carboneros,Jaén,5279X,2024-06-16,32.5,15.4,23.9,normal,+2,frío,"-2,7",#ece6d9,2,2º más de lo normal,282,2004-02-17,2004,Linares
23-612301,Morena y Condado,23024,La Carolina,Jaén,5246,NA,13.6,6.4,10,extremadamente frío,"-18,2",extremadamente frío,-11,#08306b,"18,2","18,2º menos de lo normal",NA,NA,NA,Santa Elena
23-612301,Morena y Condado,23025,Castellar,Jaén,5246,NA,13.6,6.4,10,extremadamente frío,"-18,2",extremadamente frío,-11,#08306b,"18,2","18,2º menos de lo normal",NA,NA,NA,Santa Elena
23-612301,Morena y Condado,23029,Chiclana de Segura,Jaén,5246,NA,13.6,6.4,10,extremadamente frío,"-18,2",extremadamente frío,-11,#08306b,"18,2","18,2º menos de lo normal",NA,NA,NA,Santa Elena
23-612301,Morena y Condado,23039,Guarromán,Jaén,5281X,2024-06-16,32.9,16.2,24.6,normal,"+2,7",frío,"-1,9",#ece6d9,"2,7","2,7º más de lo normal",215,2009-06-23,2009,Bailén
23-612301,Morena y Condado,23055,Linares,Jaén,5279X,2024-06-16,32.5,15.4,23.9,normal,+2,frío,"-2,7",#ece6d9,2,2º más de lo normal,282,2004-02-17,2004,Linares
23-612301,Morena y Condado,23062,Montizón,Jaén,5246,NA,13.6,6.4,10,extremadamente frío,"-18,2",extremadamente frío,-11,#08306b,"18,2","18,2º menos de lo normal",NA,NA,NA,Santa Elena
23-612301,Morena y Condado,23063,Navas de San Juan,Jaén,5246,NA,13.6,6.4,10,extremadamente frío,"-18,2",extremadamente frío,-11,#08306b,"18,2","18,2º menos de lo normal",NA,NA,NA,Santa Elena
23-612301,Morena y Condado,23076,Santa Elena,Jaén,5246,NA,13.6,6.4,10,extremadamente frío,"-18,2",extremadamente frío,-11,#08306b,"18,2","18,2º menos de lo normal",NA,NA,NA,Santa Elena
23-612301,Morena y Condado,23096,Villanueva de la Reina,Jaén,5281X,2024-06-16,32.9,16.2,24.6,normal,"+2,7",frío,"-1,9",#ece6d9,"2,7","2,7º más de lo normal",215,2009-06-23,2009,Bailén
23-612301,Morena y Condado,23079,Santisteban del Puerto,Jaén,5246,NA,13.6,6.4,10,extremadamente frío,"-18,2",extremadamente frío,-11,#08306b,"18,2","18,2º menos de lo normal",NA,NA,NA,Santa Elena
23-612301,Morena y Condado,23094,Vilches,Jaén,5246,NA,13.6,6.4,10,extremadamente frío,"-18,2",extremadamente frío,-11,#08306b,"18,2","18,2º menos de lo normal",NA,NA,NA,Santa Elena
41-614101,Sierra norte de Sevilla,41002,Alanís,Sevilla,5726X,2024-06-16,31.2,12.8,22,muy cálido,"+3,5",frío,"-2,9",#ef3b2c,"3,5","3,5º más de lo normal",167,2008-04-25,2008,Guadalcanal
41-614101,Sierra norte de Sevilla,41009,Almadén de la Plata,Sevilla,5733X,2024-06-16,31.9,14.2,23,normal,"+2,2",muy frío,"-1,9",#ece6d9,"2,2","2,2º más de lo normal",251,2004-07-01,2004,Almadén de la Plata
41-614101,Sierra norte de Sevilla,41027,Castilblanco de los Arroyos,Sevilla,5733X,2024-06-16,31.9,14.2,23,normal,"+2,2",muy frío,"-1,9",#ece6d9,"2,2","2,2º más de lo normal",251,2004-07-01,2004,Almadén de la Plata
41-614101,Sierra norte de Sevilla,41031,El Castillo de las Guardas,Sevilla,5733X,2024-06-16,31.9,14.2,23,normal,"+2,2",muy frío,"-1,9",#ece6d9,"2,2","2,2º más de lo normal",251,2004-07-01,2004,Almadén de la Plata
41-614101,Sierra norte de Sevilla,41032,Cazalla de la Sierra,Sevilla,5704B,2024-06-16,31.8,9.8,20.8,cálido,"+3,9",muy frío,"-3,2",#fcbba1,"3,9","3,9º más de lo normal",234,1997-01-29,1997,Cazalla de la Sierra
41-614101,Sierra norte de Sevilla,41033,Constantina,Sevilla,5704B,2024-06-16,31.8,9.8,20.8,cálido,"+3,9",muy frío,"-3,2",#fcbba1,"3,9","3,9º más de lo normal",234,1997-01-29,1997,Cazalla de la Sierra
41-614101,Sierra norte de Sevilla,41048,Guadalcanal,Sevilla,5726X,2024-06-16,31.2,12.8,22,muy cálido,"+3,5",frío,"-2,9",#ef3b2c,"3,5","3,5º más de lo normal",167,2008-04-25,2008,Guadalcanal
41-614101,Sierra norte de Sevilla,41057,El Madroño,Sevilla,5733X,2024-06-16,31.9,14.2,23,normal,"+2,2",muy frío,"-1,9",#ece6d9,"2,2","2,2º más de lo normal",251,2004-07-01,2004,Almadén de la Plata
41-614101,Sierra norte de Sevilla,41066,Las Navas de la Concepción,Sevilla,5654X,2024-06-16,32.4,9.4,20.9,normal,"+1,2",muy frío,"-4,6",#ece6d9,"1,2","1,2º más de lo normal",259,2008-04-24,2008,La Puebla de los Infantes
41-614101,Sierra norte de Sevilla,41073,El Pedroso,Sevilla,5704B,2024-06-16,31.8,9.8,20.8,cálido,"+3,9",muy frío,"-3,2",#fcbba1,"3,9","3,9º más de lo normal",234,1997-01-29,1997,Cazalla de la Sierra
41-614101,Sierra norte de Sevilla,41078,La Puebla de los Infantes,Sevilla,5654X,2024-06-16,32.4,9.4,20.9,normal,"+1,2",muy frío,"-4,6",#ece6d9,"1,2","1,2º más de lo normal",259,2008-04-24,2008,La Puebla de los Infantes
41-614101,Sierra norte de Sevilla,41080,El Real de la Jara,Sevilla,5733X,2024-06-16,31.9,14.2,23,normal,"+2,2",muy frío,"-1,9",#ece6d9,"2,2","2,2º más de lo normal",251,2004-07-01,2004,Almadén de la Plata
41-614101,Sierra norte de Sevilla,41083,El Ronquillo,Sevilla,5733X,2024-06-16,31.9,14.2,23,normal,"+2,2",muy frío,"-1,9",#ece6d9,"2,2","2,2º más de lo normal",251,2004-07-01,2004,Almadén de la Plata
41-614101,Sierra norte de Sevilla,41088,San Nicolás del Puerto,Sevilla,5704B,2024-06-16,31.8,9.8,20.8,cálido,"+3,9",muy frío,"-3,2",#fcbba1,"3,9","3,9º más de lo normal",234,1997-01-29,1997,Cazalla de la Sierra
23-612303,Valle del Guadalquivir de Jaén,23003,Alcaudete,Jaén,5270B,2024-06-16,31.2,15.9,23.6,cálido,"+2,1",muy frío,"-2,2",#fcbba1,"2,1","2,1º más de lo normal",456,1983-04-02,1983,Jaén
23-612303,Valle del Guadalquivir de Jaén,23006,Arjona,Jaén,5270B,2024-06-16,31.2,15.9,23.6,cálido,"+2,1",muy frío,"-2,2",#fcbba1,"2,1","2,1º más de lo normal",456,1983-04-02,1983,Jaén
23-612303,Valle del Guadalquivir de Jaén,23007,Arjonilla,Jaén,5270B,2024-06-16,31.2,15.9,23.6,cálido,"+2,1",muy frío,"-2,2",#fcbba1,"2,1","2,1º más de lo normal",456,1983-04-02,1983,Jaén
23-612303,Valle del Guadalquivir de Jaén,23009,Baeza,Jaén,5164B,2024-06-16,32,15.7,23.8,cálido,"+1,1",normal,"+1,2",#fcbba1,"1,1","1,1º más de lo normal",153,2014-04-01,2014,Baeza
23-612303,Valle del Guadalquivir de Jaén,23014,Begíjar,Jaén,5164B,2024-06-16,32,15.7,23.8,cálido,"+1,1",normal,"+1,2",#fcbba1,"1,1","1,1º más de lo normal",153,2014-04-01,2014,Baeza
23-612303,Valle del Guadalquivir de Jaén,23020,Canena,Jaén,5164B,2024-06-16,32,15.7,23.8,cálido,"+1,1",normal,"+1,2",#fcbba1,"1,1","1,1º más de lo normal",153,2014-04-01,2014,Baeza
23-612303,Valle del Guadalquivir de Jaén,23027,Cazalilla,Jaén,5270B,2024-06-16,31.2,15.9,23.6,cálido,"+2,1",muy frío,"-2,2",#fcbba1,"2,1","2,1º más de lo normal",456,1983-04-02,1983,Jaén
23-612303,Valle del Guadalquivir de Jaén,23031,Escañuela,Jaén,5270B,2024-06-16,31.2,15.9,23.6,cálido,"+2,1",muy frío,"-2,2",#fcbba1,"2,1","2,1º más de lo normal",456,1983-04-02,1983,Jaén
23-612303,Valle del Guadalquivir de Jaén,23032,Espeluy,Jaén,5270B,2024-06-16,31.2,15.9,23.6,cálido,"+2,1",muy frío,"-2,2",#fcbba1,"2,1","2,1º más de lo normal",456,1983-04-02,1983,Jaén
23-612303,Valle del Guadalquivir de Jaén,23035,Fuerte del Rey,Jaén,5270B,2024-06-16,31.2,15.9,23.6,cálido,"+2,1",muy frío,"-2,2",#fcbba1,"2,1","2,1º más de lo normal",456,1983-04-02,1983,Jaén
23-612303,Valle del Guadalquivir de Jaén,23038,La Guardia de Jaén,Jaén,5270B,2024-06-16,31.2,15.9,23.6,cálido,"+2,1",muy frío,"-2,2",#fcbba1,"2,1","2,1º más de lo normal",456,1983-04-02,1983,Jaén
23-612303,Valle del Guadalquivir de Jaén,23040,Lahiguera,Jaén,5270B,2024-06-16,31.2,15.9,23.6,cálido,"+2,1",muy frío,"-2,2",#fcbba1,"2,1","2,1º más de lo normal",456,1983-04-02,1983,Jaén
23-612303,Valle del Guadalquivir de Jaén,23041,Higuera de Calatrava,Jaén,5270B,2024-06-16,31.2,15.9,23.6,cálido,"+2,1",muy frío,"-2,2",#fcbba1,"2,1","2,1º más de lo normal",456,1983-04-02,1983,Jaén
23-612303,Valle del Guadalquivir de Jaén,23046,Ibros,Jaén,5164B,2024-06-16,32,15.7,23.8,cálido,"+1,1",normal,"+1,2",#fcbba1,"1,1","1,1º más de lo normal",153,2014-04-01,2014,Baeza
23-612303,Valle del Guadalquivir de Jaén,23051,Jamilena,Jaén,5270B,2024-06-16,31.2,15.9,23.6,cálido,"+2,1",muy frío,"-2,2",#fcbba1,"2,1","2,1º más de lo normal",456,1983-04-02,1983,Jaén
23-612303,Valle del Guadalquivir de Jaén,23053,Jódar,Jaén,5164B,2024-06-16,32,15.7,23.8,cálido,"+1,1",normal,"+1,2",#fcbba1,"1,1","1,1º más de lo normal",153,2014-04-01,2014,Baeza
23-612303,Valle del Guadalquivir de Jaén,23056,Lopera,Jaén,5270B,2024-06-16,31.2,15.9,23.6,cálido,"+2,1",muy frío,"-2,2",#fcbba1,"2,1","2,1º más de lo normal",456,1983-04-02,1983,Jaén
23-612303,Valle del Guadalquivir de Jaén,23057,Lupión,Jaén,5164B,2024-06-16,32,15.7,23.8,cálido,"+1,1",normal,"+1,2",#fcbba1,"1,1","1,1º más de lo normal",153,2014-04-01,2014,Baeza
23-612303,Valle del Guadalquivir de Jaén,23058,Mancha Real,Jaén,5270B,2024-06-16,31.2,15.9,23.6,cálido,"+2,1",muy frío,"-2,2",#fcbba1,"2,1","2,1º más de lo normal",456,1983-04-02,1983,Jaén
23-612303,Valle del Guadalquivir de Jaén,23059,Marmolejo,Jaén,5270B,2024-06-16,31.2,15.9,23.6,cálido,"+2,1",muy frío,"-2,2",#fcbba1,"2,1","2,1º más de lo normal",456,1983-04-02,1983,Jaén
23-612303,Valle del Guadalquivir de Jaén,23060,Martos,Jaén,5270B,2024-06-16,31.2,15.9,23.6,cálido,"+2,1",muy frío,"-2,2",#fcbba1,"2,1","2,1º más de lo normal",456,1983-04-02,1983,Jaén
23-612303,Valle del Guadalquivir de Jaén,23061,Mengíbar,Jaén,5270B,2024-06-16,31.2,15.9,23.6,cálido,"+2,1",muy frío,"-2,2",#fcbba1,"2,1","2,1º más de lo normal",456,1983-04-02,1983,Jaén
23-612303,Valle del Guadalquivir de Jaén,23069,Porcuna,Jaén,5270B,2024-06-16,31.2,15.9,23.6,cálido,"+2,1",muy frío,"-2,2",#fcbba1,"2,1","2,1º más de lo normal",456,1983-04-02,1983,Jaén
23-612303,Valle del Guadalquivir de Jaén,23074,Rus,Jaén,5164B,2024-06-16,32,15.7,23.8,cálido,"+1,1",normal,"+1,2",#fcbba1,"1,1","1,1º más de lo normal",153,2014-04-01,2014,Baeza
23-612303,Valle del Guadalquivir de Jaén,23075,Sabiote,Jaén,5164B,2024-06-16,32,15.7,23.8,cálido,"+1,1",normal,"+1,2",#fcbba1,"1,1","1,1º más de lo normal",153,2014-04-01,2014,Baeza
23-612303,Valle del Guadalquivir de Jaén,23077,Santiago de Calatrava,Jaén,5270B,2024-06-16,31.2,15.9,23.6,cálido,"+2,1",muy frío,"-2,2",#fcbba1,"2,1","2,1º más de lo normal",456,1983-04-02,1983,Jaén
23-612303,Valle del Guadalquivir de Jaén,23085,Torreblascopedro,Jaén,5164B,2024-06-16,32,15.7,23.8,cálido,"+1,1",normal,"+1,2",#fcbba1,"1,1","1,1º más de lo normal",153,2014-04-01,2014,Baeza
23-612303,Valle del Guadalquivir de Jaén,23088,Torreperogil,Jaén,5164B,2024-06-16,32,15.7,23.8,cálido,"+1,1",normal,"+1,2",#fcbba1,"1,1","1,1º más de lo normal",153,2014-04-01,2014,Baeza
23-612303,Valle del Guadalquivir de Jaén,23092,Úbeda,Jaén,5164B,2024-06-16,32,15.7,23.8,cálido,"+1,1",normal,"+1,2",#fcbba1,"1,1","1,1º más de lo normal",153,2014-04-01,2014,Baeza
23-612303,Valle del Guadalquivir de Jaén,23098,Villardompardo,Jaén,5270B,2024-06-16,31.2,15.9,23.6,cálido,"+2,1",muy frío,"-2,2",#fcbba1,"2,1","2,1º más de lo normal",456,1983-04-02,1983,Jaén
